Date,Open,High,Low,Close,Volume
2021-05-20,62.8893,64.3611,62.5545,64.311,1027374.0997208
2021-05-21,64.3946,64.7961,63.5579,63.5579,915745.70285571
2021-05-24,63.5579,64.0263,63.1397,63.3076,800106.88208425
2021-05-25,63.9094,63.9094,62.7715,63.6248,1421477.9107452
2021-05-26,63.6581,64.1933,63.2232,64.1933,942867.27565275
2021-05-27,64.1265,65.833,63.6916,65.4648,2408062.6762854
2021-05-28,65.5316,66.8865,65.5316,66.8531,1174132.3988464
2021-05-31,67.0034,69.1448,66.7362,68.4085,1260276.8506106
2021-06-01,68.4085,70.4488,67.9067,68.3083,1485633.3129296
2021-06-02,68.3249,69.0103,67.1703,67.89,1221448.3451447
2021-06-04,68.1237,68.8768,67.7231,68.1914,810970.53322224
2021-06-07,68.3918,69.6967,68.0069,68.1914,639628.47211439
2021-06-08,68.158,68.3083,67.2214,67.7397,894170.89683497
2021-06-09,68.158,68.4251,65.9833,67.1369,1664464.7610204
2021-06-10,66.9032,69.2283,66.5517,69.2283,1329815.1429986
2021-06-11,69.0103,69.0771,67.6554,68.0235,731778.31745237
2021-06-14,68.3918,69.4955,68.2248,69.4955,848604.10534481
2021-06-15,69.7634,69.9304,68.5588,68.8935,912080.10257125
2021-06-16,68.7933,69.6967,67.6554,67.6554,1193366.273546
2021-06-17,67.4718,68.8101,67.3215,68.0736,1034354.786509
2021-06-18,67.9401,68.0736,65.1801,65.6651,3653339.1303268
2021-06-21,65.4981,66.4516,64.0431,66.1334,1020048.5893107
2021-06-22,67.1203,67.5553,66.2346,66.4683,1013279.576429
2021-06-23,66.8531,67.0702,66.5184,66.6519,579510.80659843
2021-06-24,66.8865,66.9867,66.0166,66.7697,1036169.947159
2021-06-25,66.8865,67.238,66.0833,66.3848,762513.14107311
2021-06-28,66.318,66.3848,65.7494,66.0667,416304.53451064
2021-06-29,65.6651,65.6985,63.3242,64.3946,1519937.0041356
2021-06-30,64.4613,64.8128,63.4411,64.21,1241202.3003567
2021-07-01,64.3778,66.2178,64.2267,65.0799,1087299.4378701
2021-07-02,65.6484,66.0667,64.7451,64.7451,581056.2537224
2021-07-05,64.9798,65.5149,64.7451,65.0632,533962.22361636
2021-07-06,65.3145,65.6484,63.1564,63.29,810140.90807248
2021-07-07,63.29,63.8092,62.4376,62.7214,1701368.8547877
2021-07-08,62.7214,62.7715,60.4807,61.3498,1821028.3417514
2021-07-09,61.6512,62.6213,61.0826,62.3374,1232096.9082809
2021-07-12,62.4043,63.3076,61.9359,63.1397,834788.39983306
2021-07-13,63.391,63.4077,62.1362,62.2364,679961.45556101
2021-07-14,62.7214,63.1898,62.5545,62.9561,631893.27027227
2021-07-15,62.3199,63.1397,61.8181,61.9526,1144451.3926312
2021-07-16,61.9692,62.5378,61.8858,61.986,768809.87077629
2021-07-19,61.986,62.153,59.4773,59.9456,1632721.6412643
2021-07-20,60.2128,61.1494,59.5775,60.631,1345926.2585611
2021-07-21,61.2285,62.2126,60.8067,61.8963,938385.7065996
2021-07-22,62.0721,62.283,60.3674,60.385,1165699.5835381
2021-07-23,60.3322,61.0704,60.1213,60.9824,731234.33827324
2021-07-26,60.9824,62.2654,60.1037,61.8085,839758.18450932
2021-07-27,61.8436,61.9667,60.8243,61.0176,613674.51989849
2021-07-28,61.2285,63.232,61.2285,62.863,1054625.408138
2021-07-29,64.6379,65.2706,63.7417,63.7417,2130753.9262961
2021-07-30,63.7417,64.2513,63.4604,64.0932,1276244.574172
2021-08-02,64.8488,64.8488,63.2847,63.478,741864.69290135
2021-08-03,64.6906,65.7802,63.8471,64.7434,1619728.7327118
2021-08-04,65.0245,65.5517,64.4446,64.9543,739711.53681995
2021-08-05,65.2706,65.833,64.6204,65.6397,811219.76217669
2021-08-06,65.4639,65.5869,64.3391,65.0245,807768.11186226
2021-08-09,64.9191,64.9367,64.0756,64.0756,416694.87940278
2021-08-10,64.058,65.13,63.9701,64.9719,594967.55390161
2021-08-11,64.8312,65.7275,64.761,65.4639,733181.5106069
2021-08-12,65.4639,66.6414,65.2178,66.4129,729795.86613429
2021-08-13,66.571,66.571,65.3234,65.9032,528671.51398505
2021-08-16,65.5869,66.4305,64.8839,65.0069,527780.43512049
2021-08-17,64.9191,65.2178,64.6028,65.2003,544633.54738767
2021-08-18,65.2003,65.2003,64.1634,64.4797,499015.54446851
2021-08-19,63.7065,63.7065,61.3691,62.16,1516176.9472155
2021-08-20,62.1424,62.8278,61.5976,62.7575,659094.50529219
